start_station,end_station,occurrences
Birkelunden,Helga Helgesens plass,312
Ensjoe T-bane,Sotahjoernet,312
Trelastgata,Kvaernerbyen,311
Huk 2,Huk 2,310
Schous plass,Botanisk Hage soer,310
Soendre gate,Bankplassen,308
Kvaernerbyen,Sjoesiden ved fontenen,307
Ringnes Park,Aker Brygge,307
Olaf Ryes plass,Sentrum Scene,307
Olaf Ryes plass,Jakob kirke,306
Helga Helgesens plass,Kirkeristen,303
Sofienbergparken nordvest,Sofienbergparken nordvest,301
Linaaes gate,Aker Brygge,300
Sjoesiden ved fontenen,Sjoesiden ved fontenen,300
Toeyen skole,Schous plass,299
Dokkveien,Saga Kino,299
Helga Helgesens plass,Aker Brygge,299
Storo Storsenter,Bentsebrugata,299
Alexander Kiellands Plass,Alexander Kiellands Plass,299
The Hub,Olaf Ryes plass,299
Jess Carlsens gate,Jess Carlsens gate,298
Marcus Thranes gate,Olaf Ryes plass,296
Botanisk Hage soer,Botanisk Hage soer,296
Torggata,Aker Brygge,296
St. Olavs gate,St. Olavs gate,295
Gimle Kino,Saga Kino,295
Torggata,Soendre gate,295
Oslo Handelsgymnasium,Skillebekk,294
Bislettgata,7. juni-plassen,294
Ringnes Park,Sofienbergparken soer,293
Norsk Folkemuseum,Filipstadveien,292
Bankplassen,Sjoesiden ved trappen,292
Helga Helgesens plass,Moelleparken,292
St. Hanshaugen park vest,Vaar Frelsers gravlund,291
Olaf Ryes plass,Helga Helgesens plass,291
Saga Kino,Saga Kino,290
Gunerius,Helga Helgesens plass,289
Linaaes gate,Alexander Kiellands Plass,289
Kvaernerbyen,Munkegata,288
Munkegata,Groenlands torg,288
Kirkeristen,Helga Helgesens plass,288
Gimle Kino,Fram-gaarden,287
Toeyen skole,Sofienbergparken nord,287
Vaar Frelsers gravlund,Aker Brygge,287
Jens Bjelkes Gate,Torggata,287
Ensjoe T-bane,Vaalerenga,287
Birkelunden,Torggata,287
Aker Brygge,Linaaes gate,287
Toeyen skole,Toeyenbekken,286
Thomas Heftyes plass,Tjuvholmen,286
Birkelunden,Botanisk Hage soer,285
Helga Helgesens plass,Gunerius,284
Helga Helgesens plass,Sofienbergparken nordvest,283
Ringnes Park,Toeyen skole,283
Linaaes gate,Olaf Ryes plass,283
Slottsparken Øst,Aker Brygge,283
Helga Helgesens plass,Torggata,282
Alexander Kiellands Plass,Fredensborg,282
Marcus Thranes gate,Toeyen skole,281
Jens Bjelkes Gate,Jens Bjelkes Gate,281
Munkegata,Helga Helgesens plass,281
Botanisk Hage soer,Torggata,280
Universitetsgata,Aker Brygge,280
Sukkerbiten,Kirkeristen,279
Botanisk Hage soer,Olaf Ryes plass,279
Fagerheimgata,Torggata,279
Storo Storsenter,Ringnes Park,278
Ringnes Park,Schous plass,278
Jens Bjelkes Gate,Bjoervika,278
AHO,Aker Brygge,278
Helga Helgesens plass,Olaf Ryes plass,276
Fredensborg,Aker Brygge,274
Tjuvholmen,Skillebekk,274
Torggata,Schous plass,274
Groenlands torg,Groenlands torg,273
Sentrum Scene,Olaf Ryes plass,273
