start_station,end_station,occurrences
Groenlands torg,Marcus Thranes gate,24
Schous plass trikkestopp,Carl Berners plass soer,24
Alexander Kiellands Plass,Elisenberg,24
Alexander Kiellands Plass,Vestkanttorvet,24
Soendre gate,Holbergs plass,24
Stensparken,Ullevaal sykehus,24
Aker Brygge,Majorstuen,24
Marcus Thranes gate,Studenterlunden,24
Vaar Frelsers gravlund,Huitfeldts gate,24
Via Vika,Tjuvholmen,24
Studentparlamentet,OsloMet,24
Henrik Wergelands allé,Thune,24
Sukkerbiten,Moelleparken,24
Aker Brygge,Majorstuveien,24
Anker Hotel,Brugata,24
Arkaden Nord,Jens Bjelkes Gate,24
Sotahjoernet,Jakob kirke,24
Akerselvallmenningen,Grünerhagen Nord,24
Paléhaven,Botanisk Hage soer,24
Henrik Wergelands allé,AHO,24
Hausmanns gate,Sofienberggata,24
Kampen park Øst,Sommerfrydhagen,24
Elgsletta,Sofienbergparken nord,24
Bislett Stadion,Carl Berners plass nord,24
Moelleparken,Munkedamsveien,24
Lindern,Dokkveien,24
Hallings gate,Stensgata,24
Grünerhagen Nord,Saga Kino,24
Oslo Plaza,Bjerregaards gate,24
Georg Morgenstiernes hus,Torggata,24
Tjuvholmen,Ruseloekkgaarden,24
Via Vika,Fram-gaarden,24
Bak Niels Treschows hus soer,Valkyrieplassen,24
Henrik Wergelands allé,Bentsebrugata,24
Uranienborgveien,Fredensborg,24
Colletts gate,Slottsparken Øst,24
Uranienborgveien,Vaterlandsparken,24
Huitfeldts gate,Ruseloekkgaarden,24
Ensjoeveien,Toeyenparken,24
BI Nydalen,Marienlystparken,24
Marcus Thranes gate,Krebs' gate,24
Sagene bussholdeplass,Paléhaven,24
Sagene bussholdeplass,Bogstadveien,24
Kirkeristen,Skoeyen,24
Bjoelsen Studentby,Lille Grensen,24
Groenlands torg,Kontraskjaeret,24
Toeyen skole,Kontraskjaeret,24
Borgenveien,Huitfeldts gate,24
Rostockgata,Hausmanns bru,24
Marcus Thranes gate,Mailundveien,24
Riddervoldplass,Filipstadveien,24
Groenlands torg,Sotahjoernet,24
Bak Niels Treschows hus nord,Fredensborg,24
St. Hanshaugen park vest,Bankplassen,24
Sirkustomta,Munkegata,24
Krebs' gate,Stavangergata,24
Kampen park Øst,Finnmarksgata,24
Paléhaven,Skillebekk,24
Jakob kirke,Elgsletta,24
Bentsebrugata,Skovveien,24
BI Nydalen,Stensparken,24
Olaf Ryes plass,Ullevaalsveien,24
Raadhusgata,Birkelunden,24
Kvaernerbyen,Myraloekka Øst,24
Hausmanns gate,Galgeberg,24
Domus Athletica,Bak Niels Treschows hus nord,24
Marcus Thranes gate,Thune,24
Suhms gate,Fysikkbygningen,24
Carl Berners plass soer,Oslo Plaza,24
Henrik Ibsens gate,St. Hanshaugen park vest,24
Myraloekka Øst,Kirkeristen,24
Hammersborg Torg,Stensparken,24
Koebenhavngata busstopp,Schous plass,24
Olaf Ryes plass,Skovveien,24
Sagene bussholdeplass,Jordalgata,24
Birkelunden,Dyvekes bru,24
Vaar Frelsers gravlund,Hydroparken,24
Frognerveien,OsloMet,24
Universitetsgata,Sofienbergparken nord,24
Akerselvallmenningen,Lille Schous plass,24
Elgsletta,Lille Grensen,24
Hedmarksgata,Sirkustomta,24
Bjoervika,Moelleparken,24
Tiedemannsparken,Elgsletta,24
Moelleparken,Dyvekes bru,24
Botanisk hage soer-vest,Akerselvallmenningen,24
Sagene bussholdeplass,Saga Kino,24
Kirkeveien,Pilestredet,24
Colletts gate,Jess Carlsens gate,24
Finnmarksgata,Jakob kirke,24
Riddervoldplass,Akerselvallmenningen,24
Parkveien,Skillebekk,24
Marcus Thranes gate,Thomas Heftyes plass,24
Majorstuveien,Sjoelyst,24
John Colletts plass,Lindern,24
Ullevaal sykehus,Soendre gate,24
Slottsparken Øst,Soervest for Slottsparken,24
Loerenveien,Soendre gate,24
Chr. Michelsens Gate,Bentsebrugata,24
Kvaernerbyen,Fyrstikktorget,24
Myraloekka Øst,Jens Bjelkes Gate,24
Lindern,St. Hanshaugen park soer,24
Bjoelsen Studentby,Bjerregaards gate,24
Fysikkbygningen,Ullevaalsalléen,24
Torshovparken vest,Bentsebrugata,24
Soendre gate,Ruseloekkgaarden,24
Finnmarksgata,Bjoervika,24
Hammersborg Torg,Filipstadveien,24
Jens Bjelkes Gate,Toeyenparken,24
Slottsparken Øst,Pilestredet 63,24
Aker Brygge,Enerhaugen,24
Chr. Michelsens Gate,Jernbanetorget,24
Thomas Heftyes plass,Bislettgata,24
Chr. Michelsens Gate,Paléhaven,24
Taasen Senter,Griffenfeldts gate,24
Vaar Frelsers gravlund,Annette Thommessens Plass,24
Schous plass,Landstads gate,24
Suhms gate,Majorstua skole,24
Raadhusgata,7. juni-plassen,24
Torggata,7. juni-plassen,24
Majorstua skole,Schous plass,24
AHO,Biskop Gunnerus' gate,24
Sofienbergparken nordvest,Studenterlunden,24
Soendre gate,Bislett Stadion,24
Kjeld Stubs gate,Ringnes Park,24
Bogstadveien,Skoeyen Stasjon,24
Myraloekka Øst,Majorstua skole,24
St. Olavs gate,Moelleparken,24
Skarpsnoparken,7. juni-plassen,24
Uranienborgparken,Oscars gate,24
Ullevaal sykehus,Nordre gate,24
Arkitekt Rivertz Plass,Oslo Handelsgymnasium,24
Trondheimsveien,Sommerfrydhagen,24
Hedmarksgata,Brugata,24
Sognsveien,Vaar Frelsers gravlund,24
Bislettgata,Soervest for Slottsparken,24
Lille Schous plass,Vaar Frelsers gravlund,24
Bislettgata,Elgsletta,24
Huitfeldts gate,Vaar Frelsers gravlund,24
Via Vika,Olaf Ryes plass,24
Moelleparken,Brugata,24
Hedmarksgata,Munkegata,24
Lilleborgbanen,Sirkustomta,24
Majorstuen,Riddervoldplass,24
Enerhaugen,Hausmanns gate,24
Storo Storsenter,Trondheimsveien,24
Ullevaal sykehus,Skoeyen Stasjon,24
Brugata,Fagerheimgata,24
Pilestredet 63,Huitfeldts gate,24
Sukkerbiten,Fram-gaarden,24
Skovveien,Meltzers gate,24
Kvaernerbyen,Kjeld Stubs gate,24
Majorstuen,Vulkan,24
Majorstua skole,Torggata,24
Bankplassen,Linaaes gate,24
Bjoervika,Toeyen skole,24
Sinsen T-bane,Ensjoe T-bane,24
Stensparken,Fredensborg,24
Schives gate,Stensparken,24
Hallénparken,Bislettgata,24
Fysikkbygningen,OsloMet,24
Lilleborgbanen,Stjerneplassen,24
Bislettgata,Adamstuen,24
Friggfeltet,Blindern studentparkering,24
Vaterlandsparken,Raadhusgata,24
Valkyrieplassen,Linaaes gate,24
Parkveien,St. Hanshaugen park vest,24
Majorstua skole,Koebenhavngata busstopp,24
Vulkan,Nordre gate,24
Blindern studentparkering,Oscars gate,24
Colosseum Kino,Marienlystparken,24
Birkelunden,AHO,24
Henrik Wergelands allé,Frognerveien,24
Hans Nielsen Hauges plass,St. Hanshaugen park vest,24
Hans Nielsen Hauges plass,Paléhaven,24
Brugata,Slottsparken Øst,24
Birkelunden,Kvaernerbyen,24
Majorstuen,Sjoesiden ved fontenen,24
Arkaden Nord,Tjuvholmen,24
Fyrstikktorget,Sukkerbiten,24
Sofienbergparken nordvest,Botanisk hage soer-vest,24
Carl Berners plass nord,Vaar Frelsers gravlund,24
Bogstadveien,Meltzers gate,24
Raadhusgata,Skippergata,24
Blindern Studenthus,St. Olavs gate,24
Bjoelsen Studentby,Kirkeveien,24
Karenslyst allé,7. juni-plassen,24
Forskningsveien,Hans Nielsen Hauges plass,24
Georg Morgenstiernes hus,Hedmarksgata,24
Georg Morgenstiernes hus,Carl Berners plass nord,24
Sofienbergparken nord,7. juni-plassen,24
Landstads gate,Sofienbergparken nord,24
Sofienbergparken nordvest,Bogstadveien,24
Ullevaalsalléen,Ullevaalsalléen,24
Toeyenparken,Oslo Hospital,24
Sinsen T-bane,Hasle Torg,24
Chr. Michelsens Gate,Sofienbergparken soer,24
Edvard Storms gate,Bygdoey allé,24
Sinsenveien,St. Olavs gate,24
Tiedemannsparken,Torggata,24
Vestkanttorvet,Henrik Wergelands allé,24
Jens Bjelkes Gate,Skovveien,24
Frognerstranda,7. juni-plassen,24
Soendre gate,Trondheimsveien,24
Mandalls gate,St. Olavs gate,24
Skovveien,Fred Olsens gate,24
Nybrua holdeplass,Raadhusgata,24
Thomas Heftyes plass,Marienlystparken,24
Slottsparken Øst,Frognerstranda,24
Hammersborg Torg,OsloMet,24
Sofienbergparken nord,Hausmanns bru,24
Daelenenggata,Hausmanns bru,24
Bjerregaardsgate Øst,Holbergs plass,24
Bjerregaardsgate Øst,Spikersuppa Vest,24
Hesselbergs Gate,Nordre gate,24
Huk 2,Spikersuppa Vest,24
Over Raadhusgata,Fredensborg,24
Soervest for Slottsparken,Spikersuppa Vest,24
Gunerius,Landstads gate,24
Fysikkbygningen,Spikersuppa Øst,24
Tjuvholmen,Munkegata,24
Marcus Thranes gate,Sinsen T-bane,24
Alexander Kiellands Plass,Torshovparken vest,24
Professor Aschehougs plass,Salt,24
Hans Nielsen Hauges plass,Sofienbergparken soer,24
Skoeyen,Forskningsveien,24
Storo Storsenter,Groenlands torg,24
Grünerhagen Nord,Mandalls gate,24
Uelands gate,Tjuvholmen,24
Bentsebrugata,Suhms gate,24
Skillebekk,Studenterlunden,24
Bak Niels Treschows hus soer,Stensgata,24
Torshovparken vest,Spikersuppa Vest,24
Frognerveien,Olaf Ryes plass,24
Oslo Handelsgymnasium,Colosseum Kino,24
Saga Kino,Munkegata,24
Uranienborgveien,Hausmanns gate,24
Vaar Frelsers gravlund,Nybrua holdeplass,24
Blindern Studenthus,Arendalsgata,24
Meltzers gate,Alexander Kiellands Plass,24
Sjoesiden ved trappen,Botanisk Hage vest,24
Arendalsgata,Jernbanetorget,24
Dyvekes bru,Anker Hotel,24
Saga Kino,Fred Olsens gate,24
Sofienbergparken soer,Bislettgata,24
Skippergata,Schous plass trikkestopp,24
Schous plass trikkestopp,Anker Hotel,24
Hallénparken,Arkaden Nord,24
Ensjoe T-bane,Kirkeristen,24
Ensjoe T-bane,Arkaden Soer,24
BI Nydalen,Suhms gate,24
Bjerregaards gate,Uranienborgveien,24
Raadhusgata,AHO,24
Bjerregaards gate,Kontraskjaeret,24
Olav Kyrres plass,Kirkeristen,24
Toeyen skole,Salt,24
Olav Kyrres plass,Fram-gaarden,24
Ullevaalsveien,Via Vika,24
Hammersborg Torg,Rostockgata,24
Nybrua holdeplass,Jens Bjelkes Gate,24
Hydroparken,Raadhusgata,24
Storo Storsenter,Anker Hotel,24
Nordre gate,Schous plass,24
Marienlystparken,Kirkeveien,24
Kontraskjaeret,Slottsparken Øst,24
Skillebekk,Langkaia,24
Uranienborgparken,Arkaden Soer,24
Ila,Pilestredet 63,24
Volvat,Skoeyen Stasjon,24
Hallénparken,Hesselbergs Gate,24
Schous plass,Marienlyst,24
Loerenporten,Sofienbergparken nord,24
Sirkustomta,Vaterlandsparken,24
Sofienberggata,Vulkan,24
Schives gate,Saga Kino,24
Vippetangen oest,Torggata,24
Frognerveien,Langkaia,24
Norsk Folkemuseum,Skarpsnoparken,24
Bjoelsendumpa,Groenlands torg,24
Gunerius,Bjerregaardsgate Øst,24
Akerselvallmenningen,Bjerregaardsgate Øst,24
Suhms gate,Spikersuppa Vest,24
Tannlegehoeyskolen,Hammersborg Torg,24
Sjoesiden ved fontenen,Fred Olsens gate,24
Finnmarksgata,Groenlands torg,24
Uelands gate,Alexander Kiellands Plass,24
Stjerneplassen,Parkveien,24
Bislettgata,Pilestredet Studenthus,24
Schives gate,Holbergs plass,24
Skippergata,Dokkveien,24
Munkegata,Anker Hotel,24
Sognsveien,Torggata,24
Botanisk Hage vest,Spikersuppa Øst,24
Gunerius,Torshovdalen oest,24
Over Raadhusgata,Fagerheimgata,24
Stavangergata,Saga Kino,24
Parkveien,Birkelunden,24
Frognerstranda,Spikersuppa Vest,24
Idioten,Marienlystparken,24
Marcus Thranes gate,St. Hanshaugen park soer,24
St. Olavs gate,Huk 2,24
St. Hanshaugen park soer,Ruseloekkgaarden,24
Ensjoeveien,Hasle Torg,24
Chr. Michelsens Gate,Lille Schous plass,24
Landstads gate,Friggfeltet,24
Nordre gate,Spikersuppa Øst,24
Ullevaalsveien,Raadhusgata,24
Majorstuen,Bjoervika,24
Anker Hotel,Vulkan,24
Frognerstranda,Vippetangen vest,24
Sjoesiden ved trappen,Hallings gate,24
Spikersuppa Øst,Vestkanttorvet,24
Over Raadhusgata,Filipstadveien,24
Storo Storsenter,Linaaes gate,24
Professor Aschehougs plass,Huk 2,24
Kjeld Stubs gate,St. Olavs gate,24
Loerenveien,Schous plass,24
Schous plass,Dyvekes bru,24
Ulven Torg,Fred Olsens gate,24
Hammersborg Torg,Trondheimsveien,24
Uranienborgparken,Hammersborg Torg,24
Spikersuppa Øst,Sofienbergparken nordvest,24
7. juni-plassen,Linaaes gate,24
Blindern Studenthus,Bjoervika,24
Frogner Stadion,Marcus Thranes gate,24
Hallénparken,Hallings gate,24
Karenslyst allé,Jens Bjelkes Gate,24
Spikersuppa Vest,Toeyenbekken,24
Domus Athletica,Majorstuen T-bane,24
Sjoesiden ved trappen,Vestkanttorvet,24
Ullevaalsveien,Sjoesiden ved fontenen,24
Frogner Stadion,Akersgata,24
Jordalgata,Ullevaal sykehus,24
Sentrum Scene,Langkaia,24
Hammersborg Torg,Skippergata,24
Frognerveien,Bygdoey allé,24
Jakob kirke,Bjerregaardsgate Øst,24
Henrik Wergelands allé,Marcus Thranes gate,24
Via Vika,Vaar Frelsers gravlund,24
Bjerregaardsgate Øst,Hallings gate,24
Sagene bussholdeplass,St. Olavs gate,24
Blindern studentparkering,Vaar Frelsers gravlund,24
Marienlystparken,Blindern studentparkering,24
7. juni-plassen,Thereses gate,24
Bjerregaardsgate Øst,Birkelunden,24
Akersgata,Oslo Handelsgymnasium,24
Hallings gate,Elgsletta,24
Domus Athletica,Monolittveien,24
Hans Nielsen Hauges plass,Toeyenparken,24
Schives gate,Frognerstranda,24
Tiedemannsparken,Sukkerbiten,24
Akersgata,The Hub,24
Kontraskjaeret,Vaterlandsparken,24
Hans Nielsen Hauges plass,Sukkerbiten,24
Sagene bussholdeplass,Frogner plass,24
Lakkegata,AHO,24
Tannlegehoeyskolen,Skippergata,24
BI Nydalen,Paléhaven,24
Norsk Folkemuseum,St. Olavs gate,24
Saga Kino,Henrik Wergelands allé,24
Colletts gate,Hausmanns gate,24
Landstads gate,Uranienborgveien,24
Vaar Frelsers gravlund,Marienlystparken,24
Akerselvallmenningen,Skoeyen,24
Slottsparken Øst,Vestkanttorvet,24
Bentsebrugata,Tjuvholmen,24
Rostockgata,Mandalls gate,24
Carl Berners plass nord,Ullevaal sykehus,24
Hasle,The Hub,24
Torshovparken vest,Sjoesiden ved fontenen,24
Chr. Michelsens Gate,Soendre gate,24
Oslo Handelsgymnasium,Akersgata,24
Hasle Torg,Bankplassen,24
Lilleborgbanen,Akersgata,24
Kirkegata 15,Fagerheimgata,24
Vestkanttorvet,Stensparken,24
St. Hanshaugen park nord,Sagene bussholdeplass,24
Hans Nielsen Hauges plass,Ullevaal sykehus,24
Bjoelsen moelle,Schous plass trikkestopp,24
Akersgata,Linaaes gate,24
Grünerhagen Nord,Rostockgata,24
Kontraskjaeret,Sofienbergparken nord,24
Loerenporten,Toeyen skole,24
Toeyen skole,Hasle Torg,24
Nybrua holdeplass,Spikersuppa Øst,24
Lille Grensen,Akersgata,24
Sagene bussholdeplass,Vaterlandsparken,24
Groenlands torg,Grünerhagen Nord,24
7. juni-plassen,Spikersuppa Vest,24
Bogstadveien,St. Hanshaugen park soer,24
Chr. Michelsens Gate,Bankplassen,24
Sjoesiden ved trappen,Landstads gate,24
Spikersuppa Øst,Frognerbadet,24
Studenterlunden,Norsk Folkemuseum,24
Dyvekes bru,AHO,24
Via Vika,Sukkerbiten,24
Spikersuppa Øst,Holbergs plass,24
Daelenenggata,Skraaninga,24
Pilestredet 63,Ullevaal sykehus,24
Carl Berners plass nord,Skraaninga,24
Salt,Spikersuppa Øst,24
Saga Kino,Skraaninga,24
Bjoervika,Vestkanttorvet,24
Frogner plass,Skraaninga,24
Dronningens gate,Frogner plass,24
Hallings gate,Thomas Heftyes plass,24
Fyrstikktorget,Groenlands torg,24
Skovveien,Akersgata,24
Grünerhagen Nord,Akerselvallmenningen,24
Studentparlamentet,Filipstadveien,24
Ullevaal sykehus,Jernbanetorget,24
Uranienborgparken,Hydroparken,24
Bjoelsen Studentby,Sinsen T-bane,24
Salt,Kontraskjaeret,24
Myraloekka Øst,Nydalen,24
Huk 2,St. Olavs gate,24
BI Nydalen,Stockfleths gate,24
Helga Helgesens plass,Stockfleths gate,24
Sognsveien,Carl Berners plass soer,24
Huk 1,Majorstuen,24
Skarpsnoparken,Norsk Folkemuseum,24
Slottsparken Øst,Huk 2,24
Ila,Sofienbergparken nord,24
Landstads gate,Botanisk Hage vest,24
Diakonhjemmet,Ila,24
Mandalls gate,Arkitekt Rivertz Plass,24
Kontraskjaeret,Skraaninga,24
Munkegata,Skraaninga,24
Fredensborg,Skraaninga,24
Bankplassen,Skraaninga,24
Carl Berners plass soer,Skraaninga,24
Oslo Handelsgymnasium,Professor Aschehougs plass,23
Enerhaugen,Kirkegata 15,23
Kjeld Stubs gate,Bislett Stadion,23
Tannlegehoeyskolen,Dokkveien,23
Chr. Michelsens Gate,Hammersborg Torg,23
Professor Aschehougs plass,Elisenberg,23
Schous plass,Jenny Braatens Plass,23
Lille Schous plass,Majorstuen,23
Jenny Braatens Plass,Oslo Plaza,23
Carl Berners plass nord,Dyvekes bru,23
Professor Aschehougs plass,Lakkegata,23
Vippetangen vest,Vippetangen oest,23
Ringnes Park,Ensjoe T-bane,23
Mandalls gate,Annette Thommessens Plass,23
Fredensborg,Oscars gate,23
Frognerbadet,Briskeby,23
Linaaes gate,Vippetangen vest,23
Studenterlunden,Lille Schous plass,23
Kirkeristen,Stjerneplassen,23
Pilestredet 63,Universitetsgata,23
Tannlegehoeyskolen,Colletts gate,23
Annette Thommessens Plass,Kontraskjaeret,23
Trelastgata,Schous plass,23
Linaaes gate,Kontraskjaeret,23
Pilestredet 63,Linaaes gate,23
Sukkerbiten,Krebs' gate,23
Raadhusgata,Frognerstranda,23
Fram-gaarden,Elisenberg,23
BI Nydalen,Blindern Studenthus,23
Lakkegata,Landstads gate,23
Alexander Kiellands Plass,Georg Morgenstiernes hus,23
Torggata,Hallings gate,23
Edvard Storms gate,Suhms gate,23
Galgeberg,Sofienberggata,23
Kirkeristen,Pilestredet Studenthus,23
Sinsenveien,Sirkustomta,23
Hydroparken,St. Olavs gate,23
Schous plass trikkestopp,Tiedemannsparken,23
Alexander Kiellands Plass,Thomas Heftyes plass,23
Uranienborgparken,St. Olavs gate,23
Stjerneplassen,Annette Thommessens Plass,23
Klingenberggata,Edvard Storms gate,23
Raadhusgata,Jess Carlsens gate,23
Skoeyen,Frognerveien,23
Vippetangen vest,Over Raadhusgata,23
Henrik Wergelands allé,Fram-gaarden,23
Hausmanns bru,Oslo Plaza,23
Dronningens gate,Groenlands torg,23
Gunerius,Jordalgata,23
Sinsen T-bane,Sofienbergparken nordvest,23
Krebs' gate,Vaar Frelsers gravlund,23
Sukkerbiten,Jordalgata,23
Uranienborgveien,Briskeby,23
Stjerneplassen,Sjoesiden ved fontenen,23
Over Raadhusgata,Spikersuppa Vest,23
Jess Carlsens gate,Hallings gate,23
Kontraskjaeret,Groenlands torg,23
Pilestredet,Sjoesiden ved trappen,23
Henrik Wergelands allé,Fysikkbygningen,23
Torshovparken vest,Hans Nielsen Hauges plass,23
Oslo Plaza,Frogner plass,23
Lille Schous plass,Birkelunden,23
Frognerbadet,Oscars gate,23
Thomas Heftyes plass,Trelastgata,23
Enerhaugen,Akerselvallmenningen,23
Hesselbergs Gate,Bjerregaards gate,23
Toeyenbekken,Akerselvallmenningen,23
Huitfeldts gate,Langkaia,23
Dyvekes bru,Dokkveien,23
Mandalls gate,Saga Kino,23
Slottsparken Øst,Parkveien,23
Vaalerenga,Brugata,23
Carl Berners plass nord,Grünerhagen Nord,23
Vippetangen vest,Alexander Kiellands Plass,23
Myraloekka Øst,Hans Nielsen Hauges plass,23
Vestkanttorvet,Blindern studentparkering,23
Alexander Kiellands Plass,Majorstua skole,23
Stavangergata,Kirkeveien,23
Trelastgata,Universitetsgata,23
Kvaernerbyen,Sirkustomta,23
Stjerneplassen,Bjerregaards gate,23
BI Nydalen,Oslo Handelsgymnasium,23
St. Hanshaugen park soer,Sentrum Scene,23
Landstads gate,Georg Morgenstiernes hus,23
Taasen Senter,Olaf Ryes plass,23
Saga Kino,Over Raadhusgata,23
Stavangergata,Hallénparken,23
Ullevaalsveien,Ruseloekkgaarden,23
AHO,Stensparken,23
The Hub,Dyvekes bru,23
Stensgata,Ila,23
St. Hanshaugen park vest,Tjuvholmen,23
Fram-gaarden,Hoffsveien,23
Oslo Handelsgymnasium,Paléhaven,23
Hausmanns gate,Stjerneplassen,23
Langkaia,Oslo Hospital,23
Ruseloekkgaarden,Stensparken,23
Skoeyen,Kirkeveien,23
Kjeld Stubs gate,Linaaes gate,23
Tiedemannsparken,Botanisk hage soer-vest,23
Stensgata,Ringnes Park,23
Oslo Handelsgymnasium,Holbergs plass,23
Henrik Ibsens gate,Majorstuen,23
Frognerstranda,Ruseloekkgaarden,23
Alexander Kiellands Plass,Dronningens gate,23
Lodalen busstopp,Jernbanetorget,23
Ullevaalsveien,OsloMet,23
Krebs' gate,Fredensborg,23
OsloMet,Hausmanns gate,23
Sentrum Scene,Bentsebrugata,23
Frogner Stadion,Colosseum Kino,23
Saga Kino,St. Hanshaugen park soer,23
Groenlands torg,Dokkveien,23
St. Olavs gate,Salt,23
Bjoervika,Groenlands torg,23
Rostockgata,St. Hanshaugen park soer,23
Volvat,Thomas Heftyes plass,23
Toeyen skole,Sjoesiden ved fontenen,23
Bjerregaards gate,Skovveien,23
Dronningens gate,Vaterlandsparken,23
Raadhusgata,Kirkegata 15,23
Schous plass trikkestopp,Vulkan,23
Arkaden Nord,Akerselvallmenningen,23
Domus Athletica,Vaar Frelsers gravlund,23
Olaf Ryes plass,Skillebekk,23
AHO,Arkitekt Rivertz Plass,23
Hausmanns gate,Vulkan,23
Krebs' gate,Bentsebrugata,23
Henrik Ibsens gate,Stensparken,23
Ensjoeveien,AHO,23
Chr. Michelsens Gate,Sentrum Scene,23
Sofienbergparken soer,Sofienbergparken nordvest,23
Colosseum Kino,Froeen T-bane,23
Landstads gate,Anker Hotel,23
Studenterlunden,Annette Thommessens Plass,23
Studenterlunden,Frognerveien,23
Birkelunden,Majorstuen,23
Arendalsgata,Dokkveien,23
Spikersuppa Øst,Klingenberggata,23
Botanisk Hage soer,Universitetsgata,23
Marcus Thranes gate,Enerhaugen,23
Valkyrieplassen,Aker Brygge,23
Oscars gate,Marcus Thranes gate,23
Sofienbergparken nordvest,Bentsebrugata,23
Sjoesiden ved trappen,Gimle Kino,23
Botanisk Hage soer,Kvaernerbyen,23
Bankplassen,Vaterlandsparken,23
Birkelunden,Hesselbergs Gate,23
Colletts gate,Griffenfeldts gate,23
Sukkerbiten,Ensjoe T-bane,23
Ullevaalsveien,Griffenfeldts gate,23
HasleLinje,Finnmarksgata,23
Ringnes Park,Hausmanns gate,23
Hallénparken,Jens Bjelkes Gate,23
Majorstua skole,Lille Grensen,23
Brugata,Sofienbergparken soer,23
AHO,Hallings gate,23
Colletts gate,Toeyenbekken,23
Valkyrieplassen,Edvard Storms gate,23
Studentparlamentet,Olaf Ryes plass,23
Frognerstranda,Mandalls gate,23
Fredensborg,Akerselvallmenningen,23
Arkaden Soer,Annette Thommessens Plass,23
Uranienborgveien,Skoeyen Stasjon,23
Stjerneplassen,Elgsletta,23
Studenterlunden,Saga Kino,23
Lille Grensen,Moelleparken,23
Oslo Handelsgymnasium,Jernbanetorget,23
Henrik Wergelands allé,Marienlyst,23
Jakob kirke,Arkaden Soer,23
Schous plass,Bjerregaardsgate Øst,23
Colbjoernsens gate,Oscars gate,23
Sjoesiden ved trappen,Krohgstoetten hospital,23
Sommerfrydhagen,Hesselbergs Gate,23
Saga Kino,Kontraskjaeret,23
Nordre gate,Annette Thommessens Plass,23
Loerenveien,Tiedemannsparken,23
Olaf Ryes plass,Trelastgata,23
Blindern Studenthus,Edvard Storms gate,23
The Hub,Jernbanetorget,23
Holbergs plass,Via Vika,23
Sentrum Scene,Bjerregaardsgate Øst,23
Sagene bussholdeplass,Moelleparken,23
Parkveien,Sentrum Scene,23
Jakob kirke,Bentsebrugata,23
Pilestredet Studenthus,The Hub,23
Nordre gate,Hausmanns bru,23
Vulkan,Hausmanns bru,23
Nordre gate,Fredensborg,23
St. Hanshaugen park nord,Parkveien,23
Marcus Thranes gate,Gunerius,23
Fram-gaarden,Sjoesiden ved fontenen,23
Kirkegata 15,Vippetangen oest,23
Annette Thommessens Plass,Jess Carlsens gate,23
Pilestredet Studenthus,Sukkerbiten,23
Botanisk Hage soer,Dokkveien,23
Studenterlunden,Henrik Ibsens gate,23
Over Raadhusgata,Vulkan,23
Krohgstoetten hospital,Groenlands torg,23
Moelleparken,Bjoelsen Studentby,23
Sofienberggata,Mandalls gate,23
Slottsparken Øst,Gimle Kino,23
Stensparken,Vaterlandsparken,23
Botanisk Hage soer,Slottsparken Øst,23
Carl Berners plass soer,Dyvekes bru,23
Uranienborgparken,Henrik Wergelands allé,23
Studenterlunden,Munkegata,23
Carl Berners plass soer,Vulkan,23
Bjoelsen Studentby,Sentrum Scene,23
Filipstadveien,Oslo Handelsgymnasium,23
Sukkerbiten,OsloMet,23
Koebenhavngata busstopp,Sommerfrydhagen,23
Holbergs plass,Sagene bussholdeplass,23
Toeyenparken,Daelenenggata,23
Mandalls gate,Stjerneplassen,23
Elisenberg,Stensparken,23
Oslo Handelsgymnasium,Klingenberggata,23
Daelenenggata,Finnmarksgata,23
Professor Aschehougs plass,Langkaia,23
Sommerfrydhagen,Arkaden Nord,23
Bentsebrugata,Slottsparken Øst,23
Lille Grensen,Universitetsgata,23
Skippergata,Sentrum Scene,23
Sotahjoernet,Sagene bussholdeplass,23
Bjoelsendumpa,St. Hanshaugen park nord,23
Soendre gate,Majorstuen T-bane,23
Fred Olsens gate,Botanisk Hage soer,23
Majorstuen,Bak Niels Treschows hus nord,23
AHO,Bjerregaards gate,23
Pilestredet 63,Studentparlamentet,23
Landstads gate,Fyrstikktorget,23
Ullevaal sykehus,Sofienbergparken soer,23
Daelenenggata,Vippetangen vest,23
Bislett Stadion,Blindern studentparkering,23
Bentsebrugata,Skoeyen,23
Henrik Ibsens gate,Tordenskiolds gate,23
Daelenenggata,Bankplassen,23
Hausmanns gate,Skovveien,23
Kirkegata 15,Soervest for Slottsparken,23
Vaalerenga,Akerselvallmenningen,23
Akerselvallmenningen,Sofienberggata,23
Ruseloekkgaarden,Thomas Heftyes plass,23
Torshovparken vest,Stensparken,23
Elisenberg,OsloMet,23
Marienlystparken,Hoffsveien,23
Jess Carlsens gate,Dyvekes bru,23
Holbergs plass,Fredensborg,23
Fredensborg,Stavangergata,23
Drammensveien,Skillebekk,23
Sognsveien,Idioten,23
Tiedemannsparken,Ringnes Park,23
Marienlyst,Frogner plass,23
Helga Helgesens plass,Sotahjoernet,23
Kampen park Øst,Munkegata,23
Ullevaal sykehus,Finnmarksgata,23
Bislett Stadion,Elgsletta,23
Grünerhagen Nord,Vaar Frelsers gravlund,23
Chr. Michelsens Gate,Hesselbergs Gate,23
Stavangergata,Raadhusgata,23
Oslo Handelsgymnasium,Skippergata,23
St. Hanshaugen park vest,Arendalsgata,23
Myraloekka Øst,Bjerregaards gate,23
HasleLinje,Bjerregaards gate,23
Grünerhagen Nord,Professor Aschehougs plass,23
